No,League,Team,Player,Pos,Ht,Rk,S,Age,Nat,GP,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,ENG,Pts/GP,PIM,Pl/Mi
2,NWHL,BOS,Alyssa Gagliardi,D,"5'4""",N,L,25.0,USA,16.0,2,6,5,8,7,2.0,3.0,2.0,5.0,4.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.5,12.0,
2,NWHL,MET,Erika Lawler,F,"4'11""",*,R,30.0,USA,14.0,1,7,3,8,4,0.0,6.0,3.0,6.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.57,10.0,
43,NWHL,CTW,Meghan Huertas,F,"5'6""",N,L,25.0,USA,7.0,2,2,2,4,4,2.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.57,6.0,
23,NWHL,BUF,Corinne Buie,F,"5'9""",N,R,25.0,USA,15.0,4,6,1,10,5,2.0,5.0,1.0,7.0,3.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.67,8.0,
3,NWHL,BUF,Sarah Edney,D,"5'6""",*,L,24.0,CAN,14.0,3,3,2,6,5,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1 ES,0.43,6.0,
11,NWHL,BOS,Jordan Smelker,F,"5'8""",N,L,25.0,USA,14.0,3,2,2,5,5,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.36,12.0,
19,NWHL,BOS,Sydney Daniels,F,"5'8""",Y,L,22.0,USA,7.0,4,2,1,6,5,3.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.86,2.0,
7,NWHL,BOS,Mary Parker,F,"5'9""",Y,L,24.0,USA,15.0,1,2,2,3,3,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,6.0,
5,NWHL,MET,Jenny Ryan,D,"5'4""",Y,R,22.0,USA,16.0,3,13,3,16,6,1.0,5.0,1.0,6.0,2.0,2.0,7.0,1.0,9.0,3.0,0.0,1.0,1.0,1.0,1.0,0,1.0,8.0,
26,NWHL,MET,Kiira Dosdall,D,"5'9""",N,R,30.0,USA,16.0,0,10,7,10,7,0.0,4.0,2.0,4.0,2.0,0.0,6.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.63,8.0,
22,NWHL,MET,Kelly Nash,F,"5'6""",*,R,28.0,USA,8.0,2,3,1,5,3,1.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.63,2.0,
9,NWHL,CTW,Kaycie Anderson,F,"5'7""",Y,L,26.0,USA,12.0,1,1,1,2,2,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17,2.0,
17,NWHL,CTW,Emma Greco,D,"5'9""",Y,L,22.0,CAN,6.0,0,2,2,2,2,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.33,2.0,
21,NWHL,CTW,Cydney Roesler,D,"5'9""",N,R,23.0,CAN,14.0,1,1,1,2,2,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,8.0,
7,NWHL,BUF,Jordan Juron,F,"5'8""",Y,R,23.0,USA,2.0,1,1,1,2,2,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,
13,NWHL,BOS,Kaleigh Fratkin,D,"5'7""",N,R,25.0,CAN,11.0,0,5,2,5,2,0.0,4.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.45,20.0,
22,NWHL,BOS,Haley Skarupa,F,"5'6""",N,R,23.0,USA,5.0,2,3,0,5,2,2.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0,
27,NWHL,BOS,Kathryn Tomaselli,F,"5'7""",N,R,24.0,USA,12.0,0,3,2,3,2,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,4.0,
44,NWHL,BOS,Paige Harrington,D,"5'11""",N,L,24.0,USA,14.0,0,3,2,3,2,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.21,15.0,
57,NWHL,BOS,Meagan Mangene,D|F,"5'5""",N,R,25.0,USA,15.0,2,1,1,3,3,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.2,2.0,
27,NWHL,MET,Michelle Picard,D,"5'4""",N,L,24.0,USA,16.0,0,4,1,4,1,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.25,10.0,
9,NWHL,MET,Rebecca Morse,D|F,"5'8""",N,L,25.0,USA,13.0,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.15,2.0,
10,NWHL,MET,Ashley Johnston,D,"6'0""",N,L,25.0,CAN,14.0,1,1,0,2,1,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,10.0,
21,NWHL,MET,Lauren Wash,F,"5'4""",N,L,23.0,USA,5.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,
6,NWHL,CTW,Shannon Doyle,D,"5'4""",N,R,25.0,CAN,15.0,0,5,2,5,2,0.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.33,16.0,
12,NWHL,CTW,Jamie Goldsmith,F,"5'5""",Y,L,26.0,USA,14.0,3,1,0,4,3,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.29,6.0,
25,NWHL,CTW,Juana Baribeau,F,"5'7""",N,L,28.0,CAN,16.0,1,1,1,2,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.13,16.0,
26,NWHL,CTW,Jordan Brickner,D,"5'8""",N,L,27.0,USA,15.0,1,1,1,2,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.13,0.0,
94,NWHL,CTW,Grace Klienbach,F,"5'7""",Y,R,23.0,USA,13.0,1,1,0,2,1,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,4.0,
10,NWHL,BUF,Sarah Casorso,D,"5'7""",N,L,25.0,CAN,15.0,0,9,3,9,3,0.0,6.0,1.0,6.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.6,17.0,
12,NWHL,BUF,Rebecca Vint,F,"5'10""",*,R,25.0,CAN,13.0,3,3,1,6,4,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.46,16.0,
11,NWHL,BUF,Lisa Chesson,D,"5'6""",N,L,31.0,USA,14.0,1,4,0,5,1,1.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.36,15.0,
2,NWHL,BUF,Jordan Ott,F,"5'9""",Y,L,22.0,USA,7.0,0,2,1,2,1,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.29,2.0,
17,NWHL,BUF,Jordyn Burns,D,"5'7""",N,L,25.0,USA,15.0,0,2,2,2,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.13,4.0,
25,NWHL,BUF,Jacquie Greco,D,"5'7""",N,R,26.0,USA,14.0,0,2,1,2,1,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,2.0,
5,NWHL,BUF,Sarah Shureb,F,"5'2""",Y,R,22.0,USA,8.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13,0.0,
20,NWHL,BUF,Katherine Donohue,F,"5'5""",Y,R,23.0,USA,6.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17,0.0,
9,NWHL,BOS,Corey Stearns,F,"5'10""",*,R,26.0,USA,14.0,0,4,1,4,1,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.29,6.0,
37,NWHL,BOS,Heather Schwarz,F,"5'7""",Y,R,23.0,USA,15.0,1,1,1,2,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.13,4.0,
20,NWHL,MET,Cheeky Herr,F,"5'3""",N,R,23.0,USA,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
45,NWHL,MET,Lindsey Hylwa,F,"5'9""",Y,R,23.0,USA,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
7,NWHL,CTW,Rachael Ade,D,"5'9""",Y,L,22.0,USA,16.0,0,2,0,2,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13,8.0,
14,NWHL,CTW,Elena Orlando,D,"5'7""",N,L,25.0,USA,16.0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06,2.0,
32,NWHL,CTW,Sam Donovan,F,"5'2""",Y,R,23.0,USA,2.0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,,
4,NWHL,CTW,Anya Battaglino,F,"5'4""",N,R,25.0,USA,9.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,
5,NWHL,CTW,Stephanie Mock,F,"5'4""",Y,R,25.0,USA,11.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,
10,NWHL,CTW,Sophia Agostinelli,F,"5'10""",*,R,25.0,USA,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
